mode,price,catchrate,d.beach,d.pier,d.private,d.charter,price.beach,price.pier,price.private,price.charter,catch.beach,catch.pier,catch.private,catch.charter,income,mode1
charter,106.706,0.0058,0,0,0,1,252.858,252.858,71.706,106.706,0.5333,0.4522,0.0156,0.0058,4.583332,4
private,180.006,0.1574,0,0,1,0,255.798,255.798,180.006,204.006,0.1049,0.0451,0.1574,0.4671,12.5,3
charter,139.704,0.1648,0,0,0,1,71.706,71.706,110.704,139.704,0.0678,0.0789,0.0971,0.1648,4.583332,4
private,26.106,0.2413,0,0,1,0,92.058,92.058,26.106,61.106,0.5333,0.4522,0.2413,1.0266,1.25,3
charter,79.404,0.4671,0,0,0,1,81.648,81.648,55.404,79.404,0.1049,0.0451,0.1574,0.4671,5.416667,4
pier,47.804,0.0789,0,1,0,0,47.804,47.804,100.64,129.64,0.0678,0.0789,0.0014,0.0029,4.583332,2
charter,82.804,0.4216,0,0,0,1,221.408,221.408,47.804,82.804,0.5333,0.0069,0.0361,0.4216,4.583332,4
charter,50.114,0.0209,0,0,0,1,10.534,10.534,15.114,50.114,0.0678,0.0789,0.0102,0.0209,1.25,4
pier,5.922,0.0503,0,1,0,0,5.922,5.922,5.922,30.922,0.0678,0.0503,0.2601,0.5391,2.083333,2
pier,11.322,0.0503,0,1,0,0,11.322,11.322,11.322,36.322,0.0678,0.0503,0.0276,0.0029,4.583332,2
pier,6.29,0.0789,0,1,0,0,6.29,6.29,6.29,35.29,0.0678,0.0789,0.1643,0.5391,4.583332,2
private,17.986,0.0014,0,0,1,0,17.986,17.986,17.986,46.986,0.0678,0.0789,0.0014,0.0029,3.75,3
charter,42.986,0.1648,0,0,0,1,17.986,17.986,17.986,42.986,0.0678,0.0503,0.023,0.1648,3.75,4
charter,46.986,0.5391,0,0,0,1,17.986,17.986,17.986,46.986,0.0678,0.0789,0.1643,0.5391,3.75,4
private,45.186,0.2601,0,0,1,0,45.186,45.186,45.186,70.186,0.0678,0.0503,0.2601,0.5391,10.41667,3
beach,21.386,0.0678,1,0,0,0,21.386,21.386,21.386,46.386,0.0678,0.0052,0.1491,0.2421,4.583332,1
beach,9.522,0.0678,1,0,0,0,9.522,9.522,9.522,34.522,0.0678,0.0503,0.2601,0.5391,3.75,1
private,51.842,0.2413,0,0,1,0,316.342,316.342,51.842,86.842,0.5333,0.4522,0.2413,1.0266,3.75,3
private,5.922,0.0014,0,0,1,0,32.242,32.242,5.922,34.922,0.0678,0.0789,0.0014,0.0029,2.083333,3
pier,9.522,0.0503,0,1,0,0,9.522,9.522,9.522,34.522,0.0678,0.0503,0.0276,0.0029,3.75,2
private,11.322,0.0276,0,0,1,0,11.322,11.322,11.322,36.322,0.0678,0.0503,0.0276,0.0029,4.583332,3
beach,9.522,0.0678,1,0,0,0,9.522,9.522,9.522,34.522,0.0678,0.0503,0.0276,0.0029,3.75,1
beach,71.442,0.0678,1,0,0,0,71.442,71.442,13.122,42.122,0.0678,0.0789,0.1643,0.5391,5.416667,1
private,14.58,0.2601,0,0,1,0,14.58,14.58,14.58,39.58,0.0678,0.0503,0.2601,0.5391,5.416667,3
charter,33.58,0.2421,0,0,0,1,8.58,8.58,8.58,33.58,0.0678,0.0052,0.1491,0.2421,2.916667,4
charter,41.58,0.2421,0,0,0,1,56.61,56.61,12.58,41.58,0.0678,0.0025,0.0499,0.2421,4.583332,4
charter,43.58,0.5391,0,0,0,1,18.58,18.58,18.58,43.58,0.0678,0.0503,0.2601,0.5391,7.083332,4
pier,8.58,0.0503,0,1,0,0,8.58,8.58,8.58,33.58,0.0678,0.0503,0.2601,0.5391,2.916667,2
private,666.11,0.0531,0,0,1,0,359.022,359.022,666.11,691.11,0.2537,0.1498,0.0531,0.0052,8.750001,3
charter,35.58,0.2421,0,0,0,1,29.61,29.61,6.58,35.58,0.0678,0.0025,0.0499,0.2421,2.083333,4
private,20.61,0.2413,0,0,1,0,135.11,135.11,20.61,55.61,0.5333,0.4522,0.2413,1.0266,1.25,3
charter,29.58,0.1648,0,0,0,1,4.58,4.58,4.58,29.58,0.0678,0.0503,0.023,0.1648,1.25,4
private,6.58,0.0031,0,0,1,0,6.58,6.58,6.58,31.58,0.0678,0.0503,0.0031,0.0041,2.083333,3
private,31.586,0.1491,0,0,1,0,31.586,31.586,31.586,56.586,0.0678,0.0052,0.1491,0.2421,7.083332,3
charter,49.786,0.2421,0,0,0,1,24.786,24.786,24.786,49.786,0.0678,0.0052,0.1491,0.2421,5.416667,4
pier,13.818,0.0025,0,1,0,0,13.818,13.818,13.818,42.818,0.0678,0.0025,0.0499,0.2421,2.083333,2
charter,59.618,0.5391,0,0,0,1,30.618,30.618,30.618,59.618,0.0678,0.0789,0.1643,0.5391,5.416667,4
private,4.29,0.0051,0,0,1,0,214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2.916667,3
private,5.29,0.0156,0,0,1,0,264.5,264.5,5.29,40.29,0.5333,0.4522,0.0156,0.0058,3.75,3
charter,33.29,0.1648,0,0,0,1,4.29,4.29,4.29,33.29,0.0678,0.0789,0.0971,0.1648,2.916667,4
beach,4.122,0.0678,1,0,0,0,4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1.25,1
pier,5.922,0.0503,0,1,0,0,5.922,5.922,5.922,30.922,0.0678,0.0503,0.0276,0.0029,2.083333,2
beach,71.442,0.0678,1,0,0,0,71.442,71.442,13.122,42.122,0.0678,0.0025,0.0499,0.2421,5.416667,1
private,5.922,0.0276,0,0,1,0,5.922,5.922,5.922,30.922,0.0678,0.0503,0.0276,0.0029,2.083333,3
pier,15.87,0.0503,0,1,0,0,15.87,15.87,15.87,40.87,0.0678,0.0503,0.0276,0.0029,3.75,2
private,3.87,0.0014,0,0,1,0,6.45,6.45,3.87,32.87,0.0678,0.0789,0.0014,0.0029,0.4166667,3
private,12.58,0.0276,0,0,1,0,12.58,12.58,12.58,37.58,0.0678,0.0503,0.0276,0.0029,4.583332,3
private,6.58,0.1491,0,0,1,0,6.58,6.58,6.58,31.58,0.0678,0.0052,0.1491,0.2421,2.083333,3
pier,6.58,0.0503,0,1,0,0,6.58,6.58,6.58,31.58,0.0678,0.0503,0.2601,0.5391,2.083333,2
charter,32.722,0.0029,0,0,0,1,7.722,7.722,7.722,32.722,0.0678,0.0503,0.0276,0.0029,2.916667,4
private,3.29,0.1665,0,0,1,0,164.5,164.5,3.29,38.29,0.5333,0.4522,0.1665,0.3975,2.083333,3
charter,30.29,0.0029,0,0,0,1,5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3.75,4
private,3.29,0.0014,0,0,1,0,3.29,3.29,3.29,32.29,0.0678,0.0789,0.0014,0.0029,2.083333,3
charter,34.29,0.1648,0,0,0,1,5.29,5.29,5.29,34.29,0.0678,0.0789,0.0971,0.1648,3.75,4
pier,2.29,0.0789,0,1,0,0,2.29,2.29,2.29,31.29,0.0678,0.0789,0.0971,0.1648,1.25,2
private,5.29,0.0051,0,0,1,0,264.5,264.5,5.29,40.29,0.5333,0.4522,0.0051,1.0266,3.75,3
charter,36.29,0.0029,0,0,0,1,7.29,7.29,7.29,36.29,0.0678,0.0789,0.0014,0.0029,5.416667,4
beach,13.29,0.0678,1,0,0,0,13.29,13.29,13.29,42.29,0.0678,0.0789,0.1643,0.0041,10.41667,1
charter,39.29,1.0266,0,0,0,1,214.5,214.5,4.29,39.29,0.5333,0.4522,0.2413,1.0266,2.916667,4
charter,29.29,0.1648,0,0,0,1,4.29,4.29,4.29,29.29,0.0678,0.0503,0.023,0.1648,2.916667,4
charter,31.29,0.3087,0,0,0,1,166.212,166.212,7.29,31.29,0.1049,0.0079,0.0613,0.3087,5.416667,4
charter,35.29,0.1648,0,0,0,1,6.29,6.29,6.29,35.29,0.0678,0.0789,0.0971,0.1648,4.583332,4
private,8.29,0.0613,0,0,1,0,189.012,189.012,8.29,32.29,0.1049,0.0079,0.0613,0.3087,6.250001,3
charter,38.29,0.4216,0,0,0,1,164.5,164.5,3.29,38.29,0.5333,0.0069,0.0361,0.4216,2.083333,4
charter,33.29,0.2421,0,0,0,1,4.29,4.29,4.29,33.29,0.0678,0.0025,0.0499,0.2421,2.916667,4
charter,37.29,1.0266,0,0,0,1,114.5,114.5,2.29,37.29,0.5333,0.4522,0.2413,1.0266,1.25,4
pier,2.29,0.0789,0,1,0,0,2.29,2.29,2.29,31.29,0.0678,0.0789,0.1643,0.5391,1.25,2
pier,75.012,0.1498,0,1,0,0,75.012,75.012,75.012,93.512,0.2537,0.1498,0.0233,0.0219,2.083333,2
pier,4.29,0.0789,0,1,0,0,4.29,4.29,4.29,33.29,0.0678,0.0789,0.1643,0.5391,2.916667,2
private,4.29,0.0051,0,0,1,0,214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2.916667,3
private,3.29,0.1574,0,0,1,0,75.012,75.012,3.29,27.29,0.1049,0.0451,0.1574,0.4671,2.083333,3
charter,35.87,0.1648,0,0,0,1,11.45,11.45,6.87,35.87,0.0678,0.0789,0.0971,0.1648,1.25,4
charter,47.87,0.5391,0,0,0,1,31.45,31.45,18.87,47.87,0.0678,0.0789,0.1643,0.5391,4.583332,4
charter,58.87,0.5391,0,0,0,1,33.87,33.87,33.87,58.87,0.0678,0.0503,0.2601,0.5391,8.750001,4
private,53.686,0.2413,0,0,1,0,843.186,843.186,53.686,88.686,0.5333,0.4522,0.2413,1.0266,12.5,3
charter,42.29,1.0266,0,0,0,1,364.5,364.5,7.29,42.29,0.5333,0.4522,0.0051,1.0266,5.416667,4
charter,41.29,1.0266,0,0,0,1,314.5,314.5,6.29,41.29,0.5333,0.4522,0.2413,1.0266,4.583332,4
charter,30.29,0.1648,0,0,0,1,5.29,5.29,5.29,30.29,0.0678,0.0503,0.023,0.1648,3.75,4
private,5.29,0.2413,0,0,1,0,264.5,264.5,5.29,40.29,0.5333,0.4522,0.2413,1.0266,3.75,3
charter,36.29,0.1648,0,0,0,1,7.29,7.29,7.29,36.29,0.0678,0.0789,0.0971,0.1648,5.416667,4
private,4.29,0.0023,0,0,1,0,97.812,97.812,4.29,28.29,0.1049,0.0451,0.0023,0.0046,2.916667,3
pier,3.29,0.0503,0,1,0,0,3.29,3.29,3.29,28.29,0.0678,0.0503,0.0276,0.0029,2.083333,2
beach,8.29,0.0678,1,0,0,0,8.29,8.29,8.29,33.29,0.0678,0.0503,0.2601,0.5391,6.250001,1
charter,35.58,0.0029,0,0,0,1,10.58,10.58,10.58,35.58,0.0678,0.0503,0.0276,0.0029,3.75,4
beach,11.186,0.0678,1,0,0,0,11.186,11.186,11.186,36.186,0.0678,0.0503,0.2601,0.5391,2.083333,1
beach,38.386,0.0678,1,0,0,0,38.386,38.386,38.386,63.386,0.0678,0.0503,0.2601,0.5391,8.750001,1
private,8.58,0.0276,0,0,1,0,8.58,8.58,8.58,33.58,0.0678,0.0503,0.0276,0.0029,2.916667,3
charter,37.58,0.2421,0,0,0,1,38.61,38.61,8.58,37.58,0.0678,0.0025,0.0499,0.2421,2.916667,4
charter,29.29,0.5391,0,0,0,1,4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2.916667,4
private,4.29,0.0276,0,0,1,0,4.29,4.29,4.29,29.29,0.0678,0.0503,0.0276,0.0029,2.916667,3
charter,27.29,0.0046,0,0,0,1,75.012,75.012,3.29,27.29,0.1049,0.0451,0.0023,0.0046,2.083333,4
private,4.29,0.0051,0,0,1,0,214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2.916667,3
private,5.29,0.0276,0,0,1,0,5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3.75,3
charter,30.29,0.4671,0,0,0,1,143.412,143.412,6.29,30.29,0.1049,0.0451,0.1574,0.4671,4.583332,4
charter,29.29,0.2421,0,0,0,1,4.29,4.29,4.29,29.29,0.0678,0.0052,0.1491,0.2421,2.916667,4
charter,35.29,0.5391,0,0,0,1,6.29,6.29,6.29,35.29,0.0678,0.0789,0.1643,0.5391,4.583332,4
private,6.29,0.2601,0,0,1,0,6.29,6.29,6.29,31.29,0.0678,0.0503,0.2601,0.5391,4.583332,3
charter,29.29,0.0029,0,0,0,1,4.29,4.29,4.29,29.29,0.0678,0.0503,0.0276,0.0029,2.916667,4
pier,3.29,0.0052,0,1,0,0,3.29,3.29,3.29,28.29,0.0678,0.0052,0.1491,0.2421,2.083333,2
charter,32.29,0.0041,0,0,0,1,26.32,26.32,3.29,32.29,0.0678,0.0789,0.1643,0.0041,2.083333,4
pier,4.29,0.0503,0,1,0,0,4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2.916667,2
pier,2.29,0.0503,0,1,0,0,2.29,2.29,2.29,27.29,0.0678,0.0503,0.2601,0.5391,1.25,2
pier,2.29,0.0503,0,1,0,0,2.29,2.29,2.29,27.29,0.0678,0.0503,0.2601,0.5391,1.25,2
beach,4.29,0.0678,1,0,0,0,4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2.916667,1
private,8.29,0.2601,0,0,1,0,8.29,8.29,8.29,33.29,0.0678,0.0503,0.2601,0.5391,6.250001,3
private,7.29,0.2601,0,0,1,0,7.29,7.29,7.29,32.29,0.0678,0.0503,0.2601,0.5391,5.416667,3
pier,13.29,0.0503,0,1,0,0,13.29,13.29,13.29,38.29,0.0678,0.0503,0.2601,0.5391,10.41667,2
private,3.29,0.023,0,0,1,0,3.29,3.29,3.29,28.29,0.0678,0.0503,0.023,0.1648,2.083333,3
private,6.29,0.1491,0,0,1,0,6.29,6.29,6.29,31.29,0.0678,0.0052,0.1491,0.2421,4.583332,3
charter,32.29,0.1648,0,0,0,1,26.32,26.32,3.29,32.29,0.0678,0.0789,0.0971,0.1648,2.083333,4
private,4.29,0.0276,0,0,1,0,4.29,4.29,4.29,29.29,0.0678,0.0503,0.0276,0.0029,2.916667,3
private,6.29,0.0276,0,0,1,0,6.29,6.29,6.29,31.29,0.0678,0.0503,0.0276,0.0029,4.583332,3
charter,45.58,0.2421,0,0,0,1,74.61,74.61,16.58,45.58,0.0678,0.0025,0.0499,0.2421,6.250001,4
pier,4.29,0.0503,0,1,0,0,4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2.916667,2
charter,31.29,0.5391,0,0,0,1,6.29,6.29,6.29,31.29,0.0678,0.0503,0.2601,0.5391,4.583332,4
beach,2.29,0.0678,1,0,0,0,2.29,2.29,2.29,27.29,0.0678,0.0503,0.0276,0.0029,1.25,1
pier,5.29,0.0503,0,1,0,0,5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3.75,2
private,3.29,0.0276,0,0,1,0,3.29,3.29,3.29,28.29,0.0678,0.0503,0.0276,0.0029,2.083333,3
private,2.29,0.0276,0,0,1,0,2.29,2.29,2.29,27.29,0.0678,0.0503,0.0276,0.0029,1.25,3
private,4.29,0.0014,0,0,1,0,34.32,34.32,4.29,33.29,0.0678,0.0789,0.0014,0.0029,2.916667,3
charter,31.29,0.0029,0,0,0,1,6.29,6.29,6.29,31.29,0.0678,0.0503,0.0276,0.0029,4.583332,4
private,9.29,0.2601,0,0,1,0,9.29,9.29,9.29,34.29,0.0678,0.0503,0.2601,0.5391,7.083332,3
beach,306.82,0.5333,1,0,0,0,306.82,306.82,42.32,77.32,0.5333,0.4522,0.2413,1.0266,3.75,1
private,231.822,0.0897,0,0,1,0,65.61,65.61,231.822,266.822,0.0678,0.0789,0.0897,1.0905,5.416667,3
private,8.29,0.0276,0,0,1,0,8.29,8.29,8.29,33.29,0.0678,0.0503,0.0276,0.0029,6.250001,3
charter,58.32,0.3087,0,0,0,1,132.132,132.132,34.32,58.32,0.1049,0.0079,0.0613,0.3087,2.916667,4
charter,32.29,0.0029,0,0,0,1,26.32,26.32,3.29,32.29,0.0678,0.0789,0.0014,0.0029,2.083333,4
charter,32.29,0.5391,0,0,0,1,7.29,7.29,7.29,32.29,0.0678,0.0503,0.2601,0.5391,5.416667,4
private,30.87,0.1643,0,0,1,0,51.45,51.45,30.87,59.87,0.0678,0.0789,0.1643,0.5391,7.916667,3
private,30.87,0.2601,0,0,1,0,30.87,30.87,30.87,55.87,0.0678,0.0503,0.2601,0.5391,7.916667,3
private,12.87,0.0276,0,0,1,0,12.87,12.87,12.87,37.87,0.0678,0.0503,0.0276,0.0029,2.916667,3
charter,46.87,0.1648,0,0,0,1,21.87,21.87,21.87,46.87,0.0678,0.0503,0.023,0.1648,5.416667,4
beach,24.786,0.0678,1,0,0,0,24.786,24.786,24.786,49.786,0.0678,0.0503,0.2601,0.5391,5.416667,1
charter,50.386,0.5391,0,0,0,1,21.386,21.386,21.386,50.386,0.0678,0.0789,0.1643,0.5391,4.583332,4
charter,76.45,0.4216,0,0,0,1,455.95,455.95,41.45,76.45,0.5333,0.0069,0.0361,0.4216,6.250001,4
private,12.87,0.2601,0,0,1,0,12.87,12.87,12.87,37.87,0.0678,0.0503,0.2601,0.5391,2.916667,3
charter,260.95,0.0052,0,0,0,1,119.262,119.262,235.95,260.95,0.2537,0.1498,0.0531,0.0052,2.916667,4
private,15.87,0.2601,0,0,1,0,15.87,15.87,15.87,40.87,0.0678,0.0503,0.2601,0.5391,3.75,3
private,24.87,0.2601,0,0,1,0,24.87,24.87,24.87,49.87,0.0678,0.0503,0.2601,0.5391,6.250001,3
charter,56.87,0.0041,0,0,0,1,46.45,46.45,27.87,56.87,0.0678,0.0789,0.1643,0.0041,7.083332,4
beach,4.122,0.0678,1,0,0,0,4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1.25,1
pier,4.122,0.0503,0,1,0,0,4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1.25,2
private,130.832,0.2601,0,0,1,0,130.832,130.832,130.832,155.832,0.0678,0.0503,0.2601,0.5391,4.583332,3
private,73.002,0.0238,0,0,1,0,119.554,119.554,73.002,97.002,0.1049,0.0451,0.0238,0.0468,3.75,3
private,74.354,0.0897,0,0,1,0,45.402,45.402,74.354,109.354,0.0678,0.0789,0.0897,1.0905,2.083333,3
charter,109.354,0.6456,0,0,0,1,45.402,45.402,74.354,109.354,0.0678,0.0789,0.0559,0.6456,2.083333,4
private,73.002,0.1574,0,0,1,0,119.554,119.554,73.002,97.002,0.1049,0.0451,0.1574,0.4671,3.75,3
charter,86.754,0.0209,0,0,0,1,31.602,31.602,51.754,86.754,0.0678,0.0789,0.0102,0.0209,1.25,4
charter,66.602,0.4216,0,0,0,1,106.714,106.714,31.602,66.602,0.5333,0.0069,0.0361,0.4216,1.25,4
beach,37.098,0.0678,1,0,0,0,37.098,37.098,37.098,66.098,0.0678,0.0789,0.1643,0.5391,1.25,1
pier,20.898,0.0789,0,1,0,0,20.898,20.898,20.898,49.898,0.0678,0.0789,0.1643,0.5391,0.4166667,2
charter,189.548,0.0058,0,0,0,1,393.66,393.66,154.548,189.548,0.5333,0.4522,0.0156,0.0058,5.416667,4
charter,104.748,0.4216,0,0,0,1,177.66,177.66,69.748,104.748,0.5333,0.0069,0.0361,0.4216,2.083333,4
charter,51.832,0.2421,0,0,0,1,26.832,26.832,26.832,51.832,0.0678,0.0052,0.1491,0.2421,0.4166667,4
charter,135.032,0.5391,0,0,0,1,110.032,110.032,110.032,135.032,0.0678,0.0503,0.2601,0.5391,3.75,4
private,236.196,0.0102,0,0,1,0,151.632,151.632,236.196,271.196,0.0678,0.0789,0.0102,0.0209,5.416667,3
private,328.432,0.0023,0,0,1,0,511.596,511.596,328.432,352.432,0.1049,0.0451,0.0023,0.0046,12.5,3
charter,165.832,1.0266,0,0,0,1,353.498,353.498,130.832,165.832,0.5333,0.4522,0.2413,1.0266,4.583332,4
private,106.596,0.0559,0,0,1,0,68.432,68.432,106.596,141.596,0.0678,0.0789,0.0559,0.6456,2.083333,3
pier,90.948,0.0789,0,1,0,0,90.948,90.948,90.948,119.948,0.0678,0.0789,0.0014,0.0029,2.916667,2
private,90.948,0.0023,0,0,1,0,132.99,132.99,90.948,114.948,0.1049,0.0451,0.0023,0.0046,2.916667,3
charter,162.49,0.1726,0,0,0,1,90.948,90.948,132.99,162.49,0.0678,0.0052,0.0732,0.1726,2.916667,4
charter,61.574,1.0266,0,0,0,1,65.016,65.016,26.574,61.574,0.5333,0.4522,0.2413,1.0266,0.4166667,4
charter,123.374,0.0058,0,0,0,1,216.216,216.216,88.374,123.374,0.5333,0.4522,0.0156,0.0058,2.916667,4
private,247.86,0.0613,0,0,1,0,319.302,319.302,247.86,271.86,0.1049,0.0079,0.0613,0.3087,5.416667,3
private,115.196,0.1574,0,0,1,0,295.422,295.422,115.196,139.196,0.1049,0.0451,0.1574,0.4671,7.083332,3
pier,150.174,0.0789,0,1,0,0,150.174,150.174,170.586,199.586,0.0678,0.0789,0.1643,0.5391,5.416667,2
charter,185.174,1.0266,0,0,0,1,367.416,367.416,150.174,185.174,0.5333,0.4522,0.2413,1.0266,5.416667,4
charter,253.856,0.2377,0,0,0,1,170.774,170.774,218.856,253.856,0.0678,0.0025,0.0108,0.2377,6.250001,4
charter,148.256,0.6456,0,0,0,1,88.374,88.374,113.256,148.256,0.0678,0.0789,0.0559,0.6456,2.916667,4
beach,47.174,0.0678,1,0,0,0,47.174,47.174,53.586,82.586,0.0678,0.0789,0.1643,0.5391,1.25,1
pier,129.574,0.0789,0,1,0,0,129.574,129.574,147.186,176.186,0.0678,0.0789,0.1643,0.5391,4.583332,2
pier,108.974,0.0789,0,1,0,0,108.974,108.974,123.786,152.786,0.0678,0.0789,0.1643,0.5391,3.75,2
charter,267.574,1.0266,0,0,0,1,569.016,569.016,232.574,267.574,0.5333,0.4522,0.2413,1.0266,8.750001,4
charter,129.386,0.5391,0,0,0,1,88.374,88.374,100.386,129.386,0.0678,0.0789,0.1643,0.5391,2.916667,4
charter,164.574,0.3975,0,0,0,1,317.016,317.016,129.574,164.574,0.5333,0.4522,0.1665,0.3975,4.583332,4
charter,193.448,2.3014,0,0,0,1,106.596,106.596,168.448,193.448,0.2537,0.1498,0.6817,2.3014,2.083333,4
charter,188.758,0.2421,0,0,0,1,140.714,140.714,159.758,188.758,0.0678,0.0025,0.0499,0.2421,3.75,4
private,140.714,0.1574,0,0,1,0,171.396,171.396,140.714,164.714,0.1049,0.0451,0.1574,0.4671,3.75,3
private,270.848,0.0531,0,0,1,0,171.396,171.396,270.848,295.848,0.2537,0.1498,0.0531,0.0052,3.75,3
charter,173.598,0.6456,0,0,0,1,107.916,107.916,138.598,173.598,0.0678,0.0789,0.0559,0.6456,3.75,4
private,79.254,0.0023,0,0,1,0,115.736,115.736,79.254,103.254,0.1049,0.0451,0.0023,0.0046,4.583332,3
charter,114.254,0.4216,0,0,0,1,266.696,266.696,79.254,114.254,0.5333,0.0069,0.0361,0.4216,4.583332,4
private,37.752,0.0023,0,0,1,0,86.658,86.658,37.752,61.752,0.1049,0.0451,0.0023,0.0046,2.916667,3
private,11.352,0.0361,0,0,1,0,58.05,58.05,11.352,46.352,0.5333,0.0069,0.0361,0.4216,0.4166667,3
private,37.752,0.0023,0,0,1,0,86.658,86.658,37.752,61.752,0.1049,0.0451,0.0023,0.0046,2.916667,3
charter,84.306,0.0046,0,0,0,1,85.698,85.698,60.306,84.306,0.1049,0.0451,0.0023,0.0046,3.75,4
charter,95.306,0.0058,0,0,0,1,212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3.75,4
charter,95.306,0.0058,0,0,0,1,212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3.75,4
charter,72.906,0.0046,0,0,0,1,69.498,69.498,48.906,72.906,0.1049,0.0451,0.0023,0.0046,2.916667,4
beach,85.698,0.2537,1,0,0,0,85.698,85.698,85.698,104.198,0.2537,0.1498,0.0233,0.0219,3.75,1
private,37.506,0.1574,0,0,1,0,53.298,53.298,37.506,61.506,0.1049,0.0451,0.1574,0.4671,2.083333,3
private,48.906,0.2413,0,0,1,0,172.458,172.458,48.906,83.906,0.5333,0.4522,0.2413,1.0266,2.916667,3
charter,95.306,0.4216,0,0,0,1,212.658,212.658,60.306,95.306,0.5333,0.0069,0.0361,0.4216,3.75,4
pier,224.296,0.4522,0,1,0,0,224.296,224.296,66.654,101.654,0.5333,0.4522,0.2413,1.0266,3.75,2
pier,34.874,0.0789,0,1,0,0,34.874,34.874,34.874,63.874,0.0678,0.0789,0.1643,0.5391,2.083333,2
charter,112.274,0.0058,0,0,0,1,360.126,360.126,77.274,112.274,0.5333,0.4522,0.0156,0.0058,5.416667,4
charter,59.874,0.0029,0,0,0,1,34.874,34.874,34.874,59.874,0.0678,0.0503,0.0276,0.0029,2.083333,4
charter,91.074,0.0058,0,0,0,1,261.326,261.326,56.074,91.074,0.5333,0.4522,0.0156,0.0058,3.75,4
charter,189.734,0.6456,0,0,0,1,66.674,66.674,154.734,189.734,0.0678,0.0789,0.0559,0.6456,4.583332,4
charter,106.274,0.1648,0,0,0,1,77.274,77.274,77.274,106.274,0.0678,0.0789,0.0971,0.1648,5.416667,4
charter,143.974,1.0266,0,0,0,1,266.616,266.616,108.974,143.974,0.5333,0.4522,0.2413,1.0266,3.75,4
charter,99.35,1.0266,0,0,0,1,191.334,191.334,64.35,99.35,0.5333,0.4522,0.2413,1.0266,2.916667,4
private,184.35,0.0023,0,0,1,0,253.174,253.174,184.35,208.35,0.1049,0.0451,0.0023,0.0046,9.583336,3
charter,99.35,0.4216,0,0,0,1,191.334,191.334,64.35,99.35,0.5333,0.0069,0.0361,0.4216,2.916667,4
private,67.774,0.0897,0,0,1,0,49.35,49.35,67.774,102.774,0.0678,0.0789,0.0897,1.0905,2.083333,3
private,64.35,0.0361,0,0,1,0,191.334,191.334,64.35,99.35,0.5333,0.0069,0.0361,0.4216,2.916667,3
private,34.35,0.0051,0,0,1,0,102.134,102.134,34.35,69.35,0.5333,0.4522,0.0051,1.0266,1.25,3
charter,99.35,0.3975,0,0,0,1,191.334,191.334,64.35,99.35,0.5333,0.4522,0.1665,0.3975,2.916667,4
charter,84.35,0.4216,0,0,0,1,146.734,146.734,49.35,84.35,0.5333,0.0069,0.0361,0.4216,2.083333,4
charter,114.35,0.4216,0,0,0,1,235.934,235.934,79.35,114.35,0.5333,0.0069,0.0361,0.4216,3.75,4
pier,34.35,0.0789,0,1,0,0,34.35,34.35,38.014,67.014,0.0678,0.0789,0.1643,0.5391,1.25,2
charter,73.35,0.3087,0,0,0,1,67.774,67.774,49.35,73.35,0.1049,0.0079,0.0613,0.3087,2.083333,4
pier,20.152,0.0789,0,1,0,0,20.152,20.152,20.152,49.152,0.0678,0.0789,0.1643,0.5391,1.25,2
private,45.402,0.0023,0,0,1,0,74.354,74.354,45.402,69.402,0.1049,0.0451,0.0023,0.0046,2.083333,3
private,64.35,0.2413,0,0,1,0,191.334,191.334,64.35,99.35,0.5333,0.4522,0.2413,1.0266,2.916667,3
charter,129.77,0.3975,0,0,0,1,322.218,322.218,94.77,129.77,0.5333,0.4522,0.1665,0.3975,5.416667,4
private,55.77,0.2413,0,0,1,0,189.618,189.618,55.77,90.77,0.5333,0.4522,0.2413,1.0266,2.916667,3
charter,94.682,1.0266,0,0,0,1,489.804,489.804,59.682,94.682,0.5333,0.4522,0.2413,1.0266,7.916667,4
charter,43.082,0.3087,0,0,0,1,75.012,75.012,19.082,43.082,0.1049,0.0079,0.0613,0.3087,2.083333,4
charter,65.682,1.0266,0,0,0,1,251.804,251.804,30.682,65.682,0.5333,0.4522,0.2413,1.0266,3.75,4
charter,61.482,0.5391,0,0,0,1,36.482,36.482,36.482,61.482,0.0678,0.0503,0.2601,0.5391,4.583332,4
pier,13.282,0.0789,0,1,0,0,13.282,13.282,13.282,42.282,0.0678,0.0789,0.1643,0.5391,1.25,2
